gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif,home_season_turnovers,home_3game_turnovers,home_5game_turnovers,home_prev_season_turnovers,away_season_turnovers,away_3game_turnovers,away_5game_turnovers,away_prev_season_turnovers,home_season_turnover_dif,home_3game_turnover_dif,home_5game_turnover_dif,home_prev_season_turnover_dif,away_season_turnover_dif,away_3game_turnover_dif,away_5game_turnover_dif,away_prev_season_turnover_dif
55878,2013,3,DET,0.25,0.25,WAS,0.625,0.625,0,1-1-0,0.5,0.0,0-2-0,0.0,0.0,loss,0.0,-12.0,-12.0,-12.0,3.0,3.0,3.0,3.0,-4.0625,2.0,2.0,2.0,0.875,1.5,1.5,1.5,2.0625,-0.5,-0.5,-0.5,1.0625,1.0,1.0,1.0,-1.0
55872,2013,3,NYG,0.563,0.375,CAR,0.43799999999999994,0.375,0,0-2-0,0.0,0.0,0-2-0,0.0,0.0,win,-1.0,-3.0,-3.0,-3.0,-0.375,-11.5,-11.5,-11.5,5.3125,1.5,1.5,1.5,1.3125,5.0,5.0,5.0,1.3125,0.0,0.0,0.0,0.125,-4.0,-4.0,-4.0,0.875
55881,2013,3,IND,0.688,0.5,SF,0.7190000000000001,0.813,0,1-1-0,0.5,0.0,1-1-0,0.5,1.0,loss,0.0,-10.0,-10.0,-10.0,7.75,0.0,0.0,0.0,-1.875,2.5,2.5,2.5,1.0,0.5,0.5,0.5,1.6875,-1.0,-1.0,-1.0,0.5625,1.0,1.0,1.0,-0.75
55882,2013,3,JAC,0.125,0.125,SEA,0.688,1.0,0,0-2-0,0.0,0.0,2-0-0,1.0,1.0,win,0.0,15.5,15.5,15.5,10.4375,-18.0,-18.0,-18.0,-11.8125,1.0,1.0,1.0,1.125,1.0,1.0,1.0,1.5625,2.5,2.5,2.5,0.75,-0.5,-0.5,-0.5,-0.125
55883,2013,3,CHI,0.625,0.625,PIT,0.5,0.625,0,2-0-0,1.0,0.0,0-2-0,0.0,0.0,loss,0.0,-8.5,-8.5,-8.5,1.375,2.0,2.0,2.0,6.125,2.0,2.0,2.0,1.875,2.5,2.5,2.5,1.5,-2.0,-2.0,-2.0,-0.625,0.5,0.5,0.5,1.25
55884,2013,3,OAK,0.25,0.125,DEN,0.813,0.875,1,1-1-0,0.5,0.0,2-0-0,1.0,1.0,win,0.6000000000000001,20.0,20.0,20.0,12.0,3.0,3.0,3.0,-9.5625,1.5,1.5,1.5,1.5625,1.5,1.5,1.5,1.625,1.5,1.5,1.5,-0.0625,-1.5,-1.5,-1.5,-0.5
55885,2013,4,SF,0.7190000000000001,0.625,STL,0.469,0.5,1,1-2-0,0.33299999999999996,0.0,1-2-0,0.33299999999999996,1.0,loss,-0.4,-9.333,-9.333,-9.333,-3.0625,-13.333,-13.333,-13.333,7.75,1.3330000000000002,1.3330000000000002,1.3330000000000002,1.375,2.333,2.333,2.333,1.0,-0.33299999999999996,-0.33299999999999996,-0.33299999999999996,-0.0625,-1.3330000000000002,-1.3330000000000002,-1.3330000000000002,0.5625
55886,2013,4,BAL,0.625,0.5,BUF,0.375,0.5,0,2-1-0,0.667,0.0,1-2-0,0.33299999999999996,0.5,win,0.0,-2.667,-2.667,-2.667,-5.6875,2.333,2.333,2.333,3.375,1.3330000000000002,1.3330000000000002,1.3330000000000002,2.125,1.0,1.0,1.0,1.0,0.667,0.667,0.667,-0.8125,0.0,0.0,0.0,0.5625
55887,2013,4,CIN,0.625,0.75,CLE,0.313,0.5,1,2-1-0,0.667,0.0,1-2-0,0.33299999999999996,0.0,win,-0.6000000000000001,-5.667000000000001,-5.667000000000001,-5.667000000000001,-4.125,3.667,3.667,3.667,4.4375,2.333,2.333,2.333,1.625,2.333,2.333,2.333,1.625,-0.667,-0.667,-0.667,0.1875,0.0,0.0,0.0,0.25
55888,2013,4,CHI,0.625,0.625,DET,0.25,0.25,1,3-0-0,1.0,1.0,2-1-0,0.667,1.0,win,-0.2,4.333,4.333,4.333,-4.0625,7.0,7.0,7.0,6.125,1.3330000000000002,1.3330000000000002,1.3330000000000002,2.0625,1.6669999999999998,1.6669999999999998,1.6669999999999998,1.5,1.0,1.0,1.0,-1.0,2.0,2.0,2.0,1.25
