gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif
55205,2011,3,BAL,0.75,0.625,STL,0.43799999999999994,0.625,0,1-1-0,0.5,0.0,0-2-0,0.0,0.0,loss,0.0,-15.0,-15.0,-15.0,-2.4375,7.5,7.5,7.5,5.4375
55207,2011,3,GB,0.625,0.375,CHI,0.688,0.625,1,2-0-0,1.0,1.0,1-1-0,0.5,1.0,loss,-0.6659999999999999,0.5,0.5,0.5,3.0,7.5,7.5,7.5,9.25
55208,2011,3,ARI,0.313,0.125,SEA,0.43799999999999994,0.625,1,1-1-0,0.5,0.0,0-2-0,0.0,0.0,win,-0.2,-20.0,-20.0,-20.0,-6.0625,3.0,3.0,3.0,-9.0625
55209,2011,3,ATL,0.813,0.75,TB,0.625,0.5,1,1-1-0,0.5,0.0,1-1-0,0.5,0.0,win,-1.0,-1.5,-1.5,-1.5,1.4375,-7.0,-7.0,-7.0,7.875
55210,2011,3,PIT,0.75,0.875,IND,0.625,0.75,0,1-1-0,0.5,0.0,0-2-0,0.0,0.0,loss,0.0,-17.5,-17.5,-17.5,2.9375,-2.0,-2.0,-2.0,8.9375
55211,2011,3,WAS,0.375,0.5,DAL,0.375,0.25,1,2-0-0,1.0,0.0,1-1-0,0.5,0.0,win,0.6000000000000001,0.0,0.0,0.0,-2.625,7.5,7.5,7.5,-4.6875
55213,2011,4,BUF,0.25,0.25,CIN,0.25,0.375,0,3-0-0,1.0,1.0,1-2-0,0.33299999999999996,0.0,win,-1.0,1.0,1.0,1.0,-4.5625,13.333,13.333,13.333,-8.875
55214,2011,4,TEN,0.375,0.375,CLE,0.313,0.375,0,2-1-0,0.667,0.0,2-1-0,0.667,0.5,loss,0.0,-0.33299999999999996,-0.33299999999999996,-0.33299999999999996,-3.8125,4.667,4.667,4.667,1.0625
55216,2011,4,PIT,0.75,0.875,HOU,0.375,0.5,0,2-1-0,0.667,0.5,2-1-0,0.667,1.0,win,0.0,10.0,10.0,10.0,-2.3125,-0.33299999999999996,-0.33299999999999996,-0.33299999999999996,8.9375
55215,2011,4,DET,0.375,0.25,DAL,0.375,0.25,0,3-0-0,1.0,1.0,2-1-0,0.667,1.0,loss,1.0,0.667,0.667,0.667,-2.625,18.333,18.333,18.333,-0.4375
55219,2011,4,SF,0.375,0.125,PHI,0.625,0.5,0,2-1-0,0.667,1.0,1-2-0,0.33299999999999996,0.0,loss,1.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,3.875,6.0,6.0,6.0,-2.5625
55212,2011,4,CAR,0.125,0.0,CHI,0.688,0.625,0,1-2-0,0.33299999999999996,0.0,1-2-0,0.33299999999999996,0.5,win,1.0,-3.0,-3.0,-3.0,3.0,-2.667,-2.667,-2.667,-13.25
55220,2011,4,WAS,0.375,0.5,STL,0.43799999999999994,0.625,0,2-1-0,0.667,0.0,0-3-0,0.0,0.0,loss,0.0,-20.0,-20.0,-20.0,-2.4375,4.333,4.333,4.333,-4.6875
55217,2011,4,NO,0.688,0.75,JAC,0.5,0.625,0,2-1-0,0.667,0.0,1-2-0,0.33299999999999996,1.0,loss,0.0,-11.0,-11.0,-11.0,-4.125,5.332999999999999,5.332999999999999,5.332999999999999,4.8125
55218,2011,4,MIN,0.375,0.25,KC,0.625,0.875,0,0-3-0,0.0,0.0,0-3-0,0.0,0.0,win,0.0,-27.333000000000002,-27.333000000000002,-27.333000000000002,2.5,-4.667,-4.667,-4.667,-4.1875
55221,2011,4,NYG,0.625,0.625,ARI,0.313,0.5,0,2-1-0,0.667,0.5,1-2-0,0.33299999999999996,1.0,loss,1.0,1.0,1.0,1.0,-9.0625,3.667,3.667,3.667,2.9375
55222,2011,4,ATL,0.813,0.75,SEA,0.43799999999999994,0.625,0,1-2-0,0.33299999999999996,0.0,1-2-0,0.33299999999999996,1.0,loss,-1.0,-12.333,-12.333,-12.333,-6.0625,-5.667000000000001,-5.667000000000001,-5.667000000000001,7.875
55223,2011,4,DEN,0.25,0.125,GB,0.625,0.875,0,1-2-0,0.33299999999999996,0.0,3-0-0,1.0,1.0,win,0.0,8.333,8.333,8.333,9.25,-1.3330000000000002,-1.3330000000000002,-1.3330000000000002,-7.9375
55224,2011,4,NE,0.875,0.75,OAK,0.5,0.625,0,2-1-0,0.667,0.5,2-1-0,0.667,1.0,loss,0.0,3.333,3.333,3.333,2.4375,8.333,8.333,8.333,12.8125
55225,2011,4,MIA,0.43799999999999994,0.75,SD,0.563,0.75,0,0-3-0,0.0,0.0,2-1-0,0.667,1.0,win,1.0,-1.3330000000000002,-1.3330000000000002,-1.3330000000000002,7.4375,-8.333,-8.333,-8.333,-3.75
55226,2011,4,NYJ,0.688,0.75,BAL,0.75,0.875,0,2-1-0,0.667,0.0,2-1-0,0.667,1.0,win,1.0,15.0,15.0,15.0,5.4375,7.332999999999999,7.332999999999999,7.332999999999999,3.9375
55227,2011,4,IND,0.625,0.5,TB,0.625,0.5,0,0-3-0,0.0,0.0,2-1-0,0.667,0.5,win,0.0,0.0,0.0,0.0,1.4375,-12.667,-12.667,-12.667,2.9375
55235,2011,5,TEN,0.375,0.375,PIT,0.75,0.625,0,3-1-0,0.75,0.5,2-2-0,0.5,1.0,win,1.0,-2.0,6.667000000000001,-2.0,8.9375,8.0,11.333,8.0,1.0625
55230,2011,5,OAK,0.5,0.375,HOU,0.375,0.5,0,2-2-0,0.5,0.5,3-1-0,0.75,1.0,loss,1.0,9.25,3.333,9.25,-2.3125,-0.5,-1.6669999999999998,-0.5,2.4375
55231,2011,5,KC,0.625,0.375,IND,0.625,0.75,0,1-3-0,0.25,0.0,0-4-0,0.0,0.0,loss,1.0,-11.25,-6.0,-11.25,2.9375,-19.25,-14.333,-19.25,2.5
55232,2011,5,CIN,0.25,0.125,JAC,0.5,0.625,0,2-2-0,0.5,0.5,1-3-0,0.25,0.5,loss,0.0,-11.5,-16.0,-11.5,-4.125,1.5,-1.3330000000000002,1.5,-4.5625
