gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight
56253,2014,6,DEN,0.813,0.75,NYJ,0.5,0.75,0,3-1-0,0.75,0.0,1-4-0,0.2,0.33299999999999996,loss,0.0
56254,2014,6,BAL,0.5,0.25,TB,0.25,0.375,0,3-2-0,0.6,0.5,1-4-0,0.2,0.0,loss,0.0
56255,2014,6,JAC,0.25,0.375,TEN,0.43799999999999994,0.375,1,0-5-0,0.0,0.0,1-4-0,0.2,0.0,win,-0.2
56256,2014,6,SD,0.563,0.5,OAK,0.25,0.375,1,4-1-0,0.8,0.5,0-4-0,0.0,0.0,loss,-0.6000000000000001
56257,2014,6,WAS,0.188,0.125,ARI,0.625,0.75,0,1-4-0,0.2,0.0,3-1-0,0.75,1.0,win,0.0
56258,2014,6,DAL,0.5,0.375,SEA,0.813,0.875,0,4-1-0,0.8,1.0,3-1-0,0.75,1.0,loss,1.0
56259,2014,6,NYG,0.43799999999999994,0.375,PHI,0.625,0.5,1,3-2-0,0.6,0.5,4-1-0,0.8,1.0,win,0.2
56260,2014,6,SF,0.75,0.75,STL,0.43799999999999994,0.625,1,3-2-0,0.6,0.5,1-3-0,0.25,0.0,loss,0.0
56261,2014,7,NYJ,0.5,0.25,NE,0.75,1.0,1,1-5-0,0.16699999999999998,0.0,4-2-0,0.667,1.0,win,0.6000000000000001
56262,2014,7,ATL,0.25,0.125,BAL,0.5,0.75,0,2-4-0,0.33299999999999996,0.0,4-2-0,0.667,0.667,win,0.0
56263,2014,7,MIN,0.344,0.063,BUF,0.375,0.5,0,2-4-0,0.33299999999999996,0.33299999999999996,3-3-0,0.5,0.33299999999999996,win,0.0
56264,2014,7,MIA,0.5,0.5,CHI,0.5,0.625,0,2-3-0,0.4,0.5,3-3-0,0.5,0.0,loss,0.0
56265,2014,7,NO,0.688,0.375,DET,0.43799999999999994,0.5,0,2-3-0,0.4,0.0,4-2-0,0.667,0.667,win,0.0
56266,2014,7,CAR,0.75,0.625,GB,0.531,0.563,0,3-2-1,0.583,0.5,4-2-0,0.667,1.0,win,0.0
56267,2014,7,CIN,0.688,0.375,IND,0.688,0.75,0,3-1-1,0.7,0.5,4-2-0,0.667,0.667,win,0.0
56268,2014,7,CLE,0.25,0.125,JAC,0.25,0.125,0,3-2-0,0.6,0.5,0-6-0,0.0,0.0,win,1.0
56269,2014,7,SEA,0.813,0.75,STL,0.43799999999999994,0.625,1,3-2-0,0.6,0.5,1-4-0,0.2,0.0,win,-0.6000000000000001
56270,2014,7,TEN,0.43799999999999994,0.5,WAS,0.188,0.25,0,2-4-0,0.33299999999999996,0.33299999999999996,1-5-0,0.16699999999999998,0.33299999999999996,win,0.0
56271,2014,7,KC,0.688,0.75,SD,0.563,0.625,1,2-3-0,0.4,0.33299999999999996,5-1-0,0.833,1.0,loss,0.6000000000000001
56272,2014,7,NYG,0.43799999999999994,0.375,DAL,0.5,0.625,1,3-3-0,0.5,0.33299999999999996,5-1-0,0.833,0.667,win,0.6000000000000001
56273,2014,7,ARI,0.625,0.5,OAK,0.25,0.375,0,4-1-0,0.8,0.5,0-5-0,0.0,0.0,loss,0.0
56274,2014,7,SF,0.75,0.75,DEN,0.813,0.875,0,4-2-0,0.667,0.667,4-1-0,0.8,1.0,win,0.0
56275,2014,7,HOU,0.125,0.125,PIT,0.5,0.625,0,3-3-0,0.5,0.33299999999999996,3-3-0,0.5,0.5,win,0.0
56276,2014,8,SD,0.563,0.5,DEN,0.813,0.875,1,5-2-0,0.7140000000000001,0.667,5-1-0,0.833,1.0,win,0.6659999999999999
56277,2014,8,DET,0.43799999999999994,0.375,ATL,0.25,0.375,0,5-2-0,0.7140000000000001,0.667,2-5-0,0.28600000000000003,0.667,loss,1.0
56278,2014,8,SEA,0.813,0.75,CAR,0.75,0.875,0,3-3-0,0.5,0.33299999999999996,3-3-1,0.5,0.667,loss,-1.0
56279,2014,8,BAL,0.5,0.25,CIN,0.688,1.0,1,5-2-0,0.7140000000000001,0.667,3-2-1,0.583,0.833,win,0.2
56280,2014,8,MIA,0.5,0.5,JAC,0.25,0.125,0,3-3-0,0.5,0.667,1-6-0,0.14300000000000002,0.33299999999999996,loss,-1.0
56281,2014,8,STL,0.43799999999999994,0.25,KC,0.688,0.625,0,2-4-0,0.33299999999999996,0.5,3-3-0,0.5,0.5,win,0.0
56282,2014,8,CHI,0.5,0.375,NE,0.75,1.0,0,3-4-0,0.429,0.75,5-2-0,0.7140000000000001,1.0,win,0.0
56283,2014,8,BUF,0.375,0.25,NYJ,0.5,0.75,1,4-3-0,0.5710000000000001,0.667,1-6-0,0.14300000000000002,0.25,loss,-0.2
56284,2014,8,MIN,0.344,0.063,TB,0.25,0.375,0,2-5-0,0.28600000000000003,0.25,1-5-0,0.16699999999999998,0.0,loss,1.0
56285,2014,8,HOU,0.125,0.125,TEN,0.43799999999999994,0.375,1,3-4-0,0.429,0.25,2-5-0,0.28600000000000003,0.33299999999999996,loss,-0.6000000000000001
56286,2014,8,PHI,0.625,0.75,ARI,0.625,0.75,0,5-1-0,0.833,0.5,5-1-0,0.833,1.0,win,0.0
56287,2014,8,OAK,0.25,0.125,CLE,0.25,0.375,0,0-6-0,0.0,0.0,3-3-0,0.5,0.667,win,1.0
56288,2014,8,IND,0.688,0.625,PIT,0.5,0.625,0,5-2-0,0.7140000000000001,0.667,4-3-0,0.5710000000000001,0.667,win,0.0
56289,2014,8,GB,0.531,0.5,NO,0.688,1.0,0,5-2-0,0.7140000000000001,0.5,2-4-0,0.33299999999999996,1.0,win,-1.0
56290,2014,8,WAS,0.188,0.125,DAL,0.5,0.625,1,2-5-0,0.28600000000000003,0.0,6-1-0,0.857,0.75,loss,0.2
56291,2014,9,NO,0.688,0.375,CAR,0.75,0.875,1,3-4-0,0.429,0.0,3-4-1,0.43799999999999994,0.5,loss,0.6000000000000001
56292,2014,9,JAC,0.25,0.375,CIN,0.688,1.0,0,1-7-0,0.125,0.0,4-2-1,0.643,0.875,win,1.0
56293,2014,9,TB,0.25,0.125,CLE,0.25,0.375,0,1-6-0,0.14300000000000002,0.33299999999999996,4-3-0,0.5710000000000001,0.75,win,0.0
56294,2014,9,ARI,0.625,0.5,DAL,0.5,0.625,0,6-1-0,0.857,0.667,6-2-0,0.75,0.6,loss,0.0
56295,2014,9,PHI,0.625,0.75,HOU,0.125,0.125,0,5-2-0,0.7140000000000001,0.33299999999999996,4-4-0,0.5,0.667,loss,0.0
56296,2014,9,NYJ,0.5,0.25,KC,0.688,0.625,0,1-7-0,0.125,0.0,4-3-0,0.5710000000000001,0.667,win,0.0
56297,2014,9,SD,0.563,0.5,MIA,0.5,0.5,0,5-3-0,0.625,0.5,4-3-0,0.5710000000000001,0.33299999999999996,win,1.0
56298,2014,9,WAS,0.188,0.125,MIN,0.344,0.625,0,3-5-0,0.375,0.25,3-5-0,0.375,0.33299999999999996,win,0.0
56299,2014,9,STL,0.43799999999999994,0.25,SF,0.75,0.75,1,2-5-0,0.28600000000000003,0.33299999999999996,4-3-0,0.5710000000000001,0.667,loss,0.4
56300,2014,9,DEN,0.813,0.75,NE,0.75,1.0,0,6-1-0,0.857,0.5,6-2-0,0.75,1.0,win,0.33399999999999996
56301,2014,9,OAK,0.25,0.125,SEA,0.813,0.875,0,0-7-0,0.0,0.0,4-3-0,0.5710000000000001,0.667,win,0.0
56302,2014,9,BAL,0.5,0.25,PIT,0.5,0.625,1,5-3-0,0.625,0.5,5-3-0,0.625,0.75,win,-0.33399999999999996
56303,2014,9,IND,0.688,0.625,NYG,0.43799999999999994,0.5,0,5-3-0,0.625,0.5,3-4-0,0.429,0.667,loss,0.0
56304,2014,10,CLE,0.25,0.125,CIN,0.688,1.0,1,5-3-0,0.625,0.33299999999999996,5-2-1,0.688,0.9,loss,0.2
56305,2014,10,TEN,0.43799999999999994,0.5,BAL,0.5,0.75,0,2-6-0,0.25,0.25,5-4-0,0.556,0.75,win,0.0
56306,2014,10,KC,0.688,0.75,BUF,0.375,0.5,0,5-3-0,0.625,0.5,5-3-0,0.625,0.5,loss,0.0
56307,2014,10,MIA,0.5,0.5,DET,0.43799999999999994,0.5,0,5-3-0,0.625,0.75,6-2-0,0.75,0.75,win,0.0
56308,2014,10,DAL,0.5,0.375,JAC,0.25,0.125,0,6-3-0,0.667,1.0,1-8-0,0.111,0.25,loss,0.0
56309,2014,10,SF,0.75,0.75,NO,0.688,1.0,0,4-4-0,0.5,0.5,4-4-0,0.5,1.0,loss,0.0
56310,2014,10,PIT,0.5,0.375,NYJ,0.5,0.75,0,6-3-0,0.667,0.5,1-8-0,0.111,0.2,win,-1.0
56311,2014,10,ATL,0.25,0.125,TB,0.25,0.375,1,2-6-0,0.25,0.0,1-7-0,0.125,0.0,loss,-0.2
56312,2014,10,DEN,0.813,0.75,OAK,0.25,0.375,1,6-2-0,0.75,0.33299999999999996,0-8-0,0.0,0.0,loss,-1.0
56313,2014,10,STL,0.43799999999999994,0.25,ARI,0.625,0.75,1,3-5-0,0.375,0.5,7-1-0,0.875,1.0,win,-0.2
56314,2014,10,NYG,0.43799999999999994,0.375,SEA,0.813,0.875,0,3-5-0,0.375,0.25,5-3-0,0.625,0.75,win,1.0
56315,2014,10,CHI,0.5,0.375,GB,0.531,0.563,1,3-5-0,0.375,0.6,5-3-0,0.625,1.0,win,0.6000000000000001
56316,2014,10,CAR,0.75,0.625,PHI,0.625,0.5,0,3-5-1,0.389,0.375,6-2-0,0.75,1.0,win,-1.0
56317,2014,11,BUF,0.375,0.25,MIA,0.5,0.5,1,5-4-0,0.556,0.75,5-4-0,0.556,0.5,win,-0.6000000000000001
56318,2014,11,ATL,0.25,0.125,CAR,0.75,0.875,1,3-6-0,0.33299999999999996,0.2,3-6-1,0.35,0.4,loss,0.6000000000000001
56319,2014,11,MIN,0.344,0.063,CHI,0.5,0.625,1,4-5-0,0.444,0.4,3-6-0,0.33299999999999996,0.0,win,-0.2
56320,2014,11,HOU,0.125,0.125,CLE,0.25,0.375,0,4-5-0,0.444,0.4,6-3-0,0.667,0.8,loss,0.0
56321,2014,11,PHI,0.625,0.75,GB,0.531,0.563,0,7-2-0,0.778,0.5,6-3-0,0.667,1.0,win,-1.0
56322,2014,11,SEA,0.813,0.75,KC,0.688,0.625,0,6-3-0,0.667,0.5,6-3-0,0.667,0.75,win,0.0
56323,2014,11,CIN,0.688,0.375,NO,0.688,1.0,0,5-3-1,0.611,0.33299999999999996,4-5-0,0.444,0.75,loss,0.0
56324,2014,11,SF,0.75,0.75,NYG,0.43799999999999994,0.5,0,5-4-0,0.556,0.6,3-6-0,0.33299999999999996,0.5,loss,1.0
56325,2014,11,DEN,0.813,0.75,STL,0.43799999999999994,0.625,0,7-2-0,0.778,0.5,3-6-0,0.33299999999999996,0.25,win,0.0
56326,2014,11,TB,0.25,0.125,WAS,0.188,0.25,0,1-8-0,0.111,0.25,3-6-0,0.33299999999999996,0.5,loss,1.0
56327,2014,11,OAK,0.25,0.125,SD,0.563,0.625,1,0-9-0,0.0,0.0,5-4-0,0.556,0.75,win,0.6000000000000001
56328,2014,11,DET,0.43799999999999994,0.375,ARI,0.625,0.75,0,7-2-0,0.778,0.75,8-1-0,0.889,1.0,win,1.0
56329,2014,11,NE,0.75,0.5,IND,0.688,0.75,0,7-2-0,0.778,0.5,6-3-0,0.667,0.75,loss,-1.0
56330,2014,11,PIT,0.5,0.375,TEN,0.43799999999999994,0.375,0,6-4-0,0.6,0.4,2-7-0,0.222,0.25,loss,1.0
56331,2014,12,KC,0.688,0.75,OAK,0.25,0.375,1,7-3-0,0.7,0.6,0-10-0,0.0,0.0,win,-0.2
56332,2014,12,CLE,0.25,0.125,ATL,0.25,0.375,0,6-4-0,0.6,0.5,4-6-0,0.4,0.5,loss,0.0
56333,2014,12,NYJ,0.5,0.25,BUF,0.375,0.5,1,2-8-0,0.2,0.0,5-5-0,0.5,0.4,win,0.2
56334,2014,12,TB,0.25,0.125,CHI,0.5,0.625,0,2-8-0,0.2,0.4,4-6-0,0.4,0.25,win,0.0
56335,2014,12,CIN,0.688,0.375,HOU,0.125,0.125,0,6-3-1,0.65,0.5,5-5-0,0.5,0.5,loss,1.0
56336,2014,12,JAC,0.25,0.375,IND,0.688,0.75,1,1-9-0,0.1,0.0,6-4-0,0.6,0.6,win,0.6000000000000001
56337,2014,12,GB,0.531,0.5,MIN,0.344,0.625,1,7-3-0,0.7,0.4,4-6-0,0.4,0.5,loss,-0.5
56338,2014,12,DET,0.43799999999999994,0.375,NE,0.75,1.0,0,7-3-0,0.7,0.6,8-2-0,0.8,1.0,win,0.0
56339,2014,12,TEN,0.43799999999999994,0.5,PHI,0.625,0.5,0,2-8-0,0.2,0.2,7-3-0,0.7,1.0,win,0.0
56340,2014,12,STL,0.43799999999999994,0.25,SD,0.563,0.625,0,4-6-0,0.4,0.4,6-4-0,0.6,0.8,win,0.0
56341,2014,12,ARI,0.625,0.5,SEA,0.813,0.875,1,9-1-0,0.9,0.75,6-4-0,0.6,0.8,win,0.2
56342,2014,12,MIA,0.5,0.5,DEN,0.813,0.875,0,6-4-0,0.6,0.6,7-3-0,0.7,1.0,win,0.0
56343,2014,12,WAS,0.188,0.125,SF,0.75,0.75,0,3-7-0,0.3,0.2,6-4-0,0.6,0.5,win,1.0
56344,2014,12,DAL,0.5,0.375,NYG,0.43799999999999994,0.5,1,7-3-0,0.7,1.0,3-7-0,0.3,0.4,loss,-0.6000000000000001
56345,2014,12,BAL,0.5,0.25,NO,0.688,1.0,0,6-4-0,0.6,0.4,4-6-0,0.4,0.6,loss,0.0
56346,2014,13,CHI,0.5,0.375,DET,0.43799999999999994,0.5,1,5-6-0,0.455,0.5,7-4-0,0.636,0.8,win,0.2
56347,2014,13,PHI,0.625,0.75,DAL,0.5,0.625,1,8-3-0,0.727,0.4,8-3-0,0.727,0.5,loss,0.6000000000000001
56348,2014,13,SEA,0.813,0.75,SF,0.75,0.75,1,7-4-0,0.636,0.4,7-4-0,0.636,0.6,loss,-0.33399999999999996
56349,2014,13,SD,0.563,0.5,BAL,0.5,0.75,0,7-4-0,0.636,0.4,7-4-0,0.636,0.8,loss,1.0
56350,2014,13,CLE,0.25,0.125,BUF,0.375,0.5,0,7-4-0,0.636,0.6,6-5-0,0.545,0.5,win,0.0
56351,2014,13,TEN,0.43799999999999994,0.5,HOU,0.125,0.125,1,2-9-0,0.182,0.16699999999999998,5-6-0,0.455,0.4,win,0.6000000000000001
56352,2014,13,WAS,0.188,0.125,IND,0.688,0.75,0,3-8-0,0.273,0.16699999999999998,7-4-0,0.636,0.667,win,0.0
56353,2014,13,NYG,0.43799999999999994,0.375,JAC,0.25,0.125,0,3-8-0,0.273,0.2,1-10-0,0.091,0.2,win,0.0
56354,2014,13,CAR,0.75,0.625,MIN,0.344,0.625,0,3-7-1,0.318,0.3,4-7-0,0.364,0.4,win,-1.0
56355,2014,13,NO,0.688,0.375,PIT,0.5,0.625,0,4-7-0,0.364,0.2,7-4-0,0.636,0.8,loss,0.0
56356,2014,13,OAK,0.25,0.125,STL,0.43799999999999994,0.625,0,1-10-0,0.091,0.0,4-7-0,0.364,0.4,win,0.0
56357,2014,13,CIN,0.688,0.375,TB,0.25,0.375,0,7-3-1,0.682,0.6,2-9-0,0.182,0.0,loss,0.0
56358,2014,13,ARI,0.625,0.5,ATL,0.25,0.375,0,9-2-0,0.818,0.6,4-7-0,0.364,0.4,win,0.0
56359,2014,13,NE,0.75,0.5,GB,0.531,0.563,0,9-2-0,0.818,0.6,8-3-0,0.727,1.0,win,0.0
